dst,org,distkm,border
15,33,8136.850066,0
15,34,7976.040884,0
15,35,5258.186457,0
15,36,7835.684094,0
15,37,7696.970563,0
15,38,5878.487744,0
15,39,7295.420285,0
15,40,6045.260902,0
15,41,4268.456978,0
15,42,7694.433214,0
15,44,8195.321878,0
15,45,7578.684532,0
15,46,5851.635732,0
15,47,7047.045051,0
15,48,5902.014643,0
15,49,4826.35111,0
15,50,8041.462241,0
15,51,7693.428175,0
15,53,4439.590922,0
15,54,7502.841725,0
15,55,6686.89693,0
15,56,5243.907181,0
16,1,2723.147022,0
16,2,3198.209287,0
16,4,1146.394435,0
16,5,2163.931316,0
16,6,899.428842,0
16,8,959.938659,0
16,9,3393.422796,0
16,10,3283.068967,0
16,11,3162.321191,0
16,12,3348.564074,0
16,13,2992.431946,0
16,15,4731.605371,0
16,16,0.0,0
16,17,2145.455611,0
16,18,2381.21368,0
16,19,1729.816031,0
16,20,1501.528304,0
16,21,2566.14675,0
16,22,2492.270479,0
16,23,3545.492614,0
16,24,3187.379091,0
16,25,3469.292667,0
16,26,2287.025605,0
16,27,1610.862871,0
16,28,2516.566006,0
16,29,1962.620026,0
16,30,490.143444,1
16,31,1247.366659,0
16,32,581.857096,1
16,33,3412.249812,0
16,34,3299.089055,0
16,35,1322.674015,0
16,36,3123.230307,0
16,37,3158.24776,0
16,38,1149.0227,0
16,39,2646.160276,0
16,40,1750.963031,0
16,41,481.689994,1
16,42,3015.822961,0
16,44,3488.081144,0
16,45,3115.330868,0
16,46,1145.019988,0
16,47,2571.881518,0
16,48,1961.086307,0
16,49,610.956001,1
16,50,3315.763559,0
16,51,3093.733197,0
16,53,575.425813,1
16,54,2886.409637,0
16,55,1973.688904,0
16,56,589.09597,1
17,1,841.759238,0
17,2,4825.360509,0
17,4,2093.83876,0
17,5,646.77558,0
17,6,2652.303367,0
17,8,1412.761196,0
17,9,1391.612687,0
17,10,1182.665761,0
17,11,1051.174618,0
17,12,1432.750264,0
17,13,975.150695,0
17,15,6754.424569,0
17,16,2145.455611,0
17,17,0.0,0
17,18,245.387105,1
17,19,425.848277,1
17,20,815.439958,0
17,21,438.995538,1
17,22,1047.929564,0
17,23,1726.238424,0
17,24,1079.021682,0
17,25,1497.016842,0
17,26,598.378193,1
17,27,802.392732,0
17,28,822.51844,0
17,29,345.025774,1
17,30,1818.474925,0
17,31,911.567631,0
17,32,2348.712881,0
17,33,1508.558598,0
17,34,1234.268251,0
17,35,1628.566014,0
17,36,1172.645803,0
17,37,1016.154667,0
17,38,1220.940376,0
17,39,548.2661,0
17,40,888.160383,0
17,41,2624.063469,0
17,42,962.381537,0
17,44,1492.910855,0
17,45,1010.014686,0
17,46,1032.026652,0
17,47,531.113095,0
17,48,1326.241577,0
17,49,1928.295683,0
17,50,1430.467843,0
17,51,953.18104,0
17,53,2638.683598,0
17,54,752.062617,0
17,55,504.668248,1
17,56,1565.221488,0
18,1,796.119922,0
18,2,4986.718441,0
18,4,2331.745923,0
18,5,778.218487,0
18,6,2897.624497,0
18,8,1657.682556,0
18,9,1157.987693,0
18,10,937.589671,0
18,11,805.816807,0
18,12,1321.414354,0
18,13,847.446932,0
18,15,6999.809597,0
18,16,2381.21368,0
18,17,245.387105,1
18,18,0.0,0
18,19,652.398204,0
18,20,1055.354746,0
18,21,276.774527,1
18,22,1116.389298,0
18,23,1518.736911,0
18,24,833.718541,0
18,25,1266.936064,0
18,26,549.601352,1
18,27,958.769226,0
18,28,854.793506,0
18,29,560.470507,0
18,30,2038.79128,0
18,31,1154.353957,0
18,32,2593.849748,0
18,33,1290.528567,0
18,34,992.498452,0
18,35,1858.910173,0
18,36,953.684963,0
18,37,795.092365,0
18,38,1413.878344,0
18,39,309.272955,1
18,40,1096.574532,0
18,41,2861.119857,0
18,42,725.476641,0
18,44,1259.147809,0
18,45,825.352369,0
18,46,1255.020232,0
18,47,449.219366,0
18,48,1503.034649,0
18,49,2173.673094,0
18,50,1217.925725,0
18,51,712.812942,0
18,53,2864.068817,0
18,54,508.393627,0
18,55,595.295785,0
18,56,1804.521874,0
19,1,1190.027626,0
19,2,4431.32897,0
19,4,1806.309046,0
